Provinsi/Kabupaten/Kota/Indonesia,,
,Persentase penduduk usia 25 Tahun keatas dengan pendidikan SMA ke atas menurut jenis kelamin (Persen),
,Laki-laki,Perempuan
,2023,2023
ACEH,48.61,44.57
Simeulue,52.16,42.67
Aceh Singkil,39.57,38.62
Aceh Selatan,39.08,34.83
Aceh Tenggara,55.44,47.54
Aceh Timur,32.36,31.23
Aceh Tengah,49.35,47.92
Aceh Barat,52.77,48.3
Aceh Besar,52.63,56.44
Pidie,44.17,39.24
Bireuen,42.77,40.37
Aceh Utara,41.97,35.11
Aceh Barat Daya,38.09,40.01
Gayo Lues,39.14,32.31
Aceh Tamiang,50.84,45.36
Nagan Raya,46.59,37.11
Aceh Jaya,36.12,34.77
Bener Meriah,52.41,51.21
Pidie Jaya,50.79,43.16
Kota Banda Aceh,84.15,75.67
Kota Sabang,63.75,58.93
Kota Langsa,67.63,64.14
Kota Lhokseumawe,64.65,61.25
Kota Subulussalam,38.48,34.02
SUMATERA UTARA,55.75,51.68
Nias,39.1,26.36
Mandailing Natal,39.03,38.56
Tapanuli Selatan,51.46,42.97
Tapanuli Tengah,44.99,41.48
Tapanuli Utara,58.04,58.5
Toba Samosir / Toba,65.02,62.03
Labuhan Batu,48.65,42.27
Asahan,42.86,39.49
Simalungun,58.08,52.4
Dairi,54,54.8
Karo,54.85,53.97
Deli Serdang,61.2,56.89
Langkat,44.91,40.62
Nias Selatan,36.82,27.19
Humbang Hasundutan,56.73,56.81
Pakpak Bharat,49.95,47.27
Samosir,55.52,48.44
Serdang Bedagai,45.95,40.87
Batu Bara,42,39.75
Padang Lawas Utara,49.45,43.8
Padang Lawas,44.52,42.81
Labuhan Batu Selatan,41.81,41.93
Labuhan Batu Utara,47.84,42.78
Nias Utara,35.6,19.05
Nias Barat,43.19,26.56
Kota Sibolga,55.8,58.39
Kota Tanjung Balai,47.5,53.7
Kota Pematang Siantar,76.42,72.11
Kota Tebing Tinggi,69.36,63
Kota Medan,73.7,69.63
Kota Binjai,70.86,63.18
Kota Padangsidimpuan,64.32,63.46
Kota Gunungsitoli,52.3,37.88
SUMATERA BARAT,46.08,49.08
Kepulauan Mentawai,41.43,28.15
Pesisir Selatan,37.54,45.64
Solok,27.87,37.1
Sijunjung,38.04,43.87
Tanah Datar,41.08,46.7
Padang Pariaman,41.6,40.36
Agam,45.86,49.9
Lima Puluh Kota,37.25,38.45
Pasaman,35.37,34.96
Solok Selatan,43.21,40.68
Dharmasraya,38.7,44.32
Pasaman Barat,42.24,42.75
Kota Padang,64.81,67.93
Kota Solok,65.75,65.9
Kota Sawah Lunto,57.37,54.7
Kota Padang Panjang,71.78,76.54
Kota Bukittinggi,66.57,71.3
Kota Payakumbuh,59.74,65.38
Kota Pariaman,63.37,60.72
RIAU,45.75,43.27
Kuantan Singingi,42.91,37.9
Indragiri Hulu,38.46,37.91
Indragiri Hilir,26.85,27.04
Pelalawan,42.04,39.54
Siak,53.93,49.22
Kampar,44.33,39.95
Rokan Hulu,36.8,35.23
Bengkalis,52.96,44.61
Rokan Hilir,39.92,36.6
Kepulauan Meranti,34.35,34.34
Kota Pekanbaru,66.23,65.52
Kota Dumai,53.2,53.48
JAMBI,41.37,35.93
Kerinci,43.68,32.93
Merangin,35.86,30.4
Sarolangun,36.7,26.95
Batang Hari,32.17,32.17
Muaro Jambi,37.77,32.83
Tanjung Jabung Timur,30.43,26.6
Tanjung Jabung Barat,33.67,30.03
Tebo,32.82,28.48
Bungo,38.75,29.86
Kota Jambi,67.86,61.85
Kota Sungai Penuh,61.74,52.15
SUMATERA SELATAN,40.17,36.91
Ogan Komering Ulu,44.94,42.52
Ogan Komering Ilir,22.21,20.61
Muara Enim,42.48,31.64
Lahat,41.66,38.19
Musi Rawas,26.53,28.04
Musi Banyuasin,30.97,27.23
Banyu Asin,31.57,25.77
Ogan Komering Ulu Selatan,31.22,26.81
Ogan Komering Ulu Timur,33.13,31.77
Ogan Ilir,34.79,28.55
Empat Lawang,29.09,28.34
Penukal Abab Lematang Ilir,35.44,29.12
Musi Rawas Utara,33.1,22.46
Kota Palembang,63.12,61.9
Kota Prabumulih,65.69,56.69
Kota Pagar Alam,47.98,45.06
Kota Lubuklinggau,46.59,44.09
BENGKULU,44.5,40.07
Bengkulu Selatan,46.4,44.13
Rejang Lebong,40.08,39.24
Bengkulu Utara,37.15,31.06
Kaur,41.38,31.6
Seluma,37.68,29.84
Mukomuko,35.99,32.02
Lebong,38.62,31.21
Kepahiang,39.94,33.12
Bengkulu Tengah,39.81,30.29
Kota Bengkulu,68.79,67.85
LAMPUNG,36.15,32.12
Lampung Barat,34.48,32.9
Tanggamus,26.23,21.2
Lampung Selatan,30.95,27.3
Lampung Timur,35.16,31.54
Lampung Tengah,31.71,26.87
Lampung Utara,33.64,27.91
Way Kanan,29.87,23.88
Tulangbawang,32.97,26.08
Pesawaran,31.67,27.32
Pringsewu,35.57,31.42
Mesuji,24.08,18.7
Tulang Bawang Barat,27.95,27.7
Pesisir Barat,36.33,30.37
Kota Bandar Lampung,61.52,59.04
Kota Metro,64.94,60.35
KEP. BANGKA BELITUNG,40.75,37.18
Bangka,40.51,37.85
Belitung,46.51,43.38
Bangka Barat,33.76,32.84
Bangka Tengah,27.07,23.05
Bangka Selatan,28.37,24.61
Belitung Timur,43.08,41.02
Kota Pangkal Pinang,67.02,55.68
KEPULAUAN RIAU,58.08,60.24
Karimun,39.61,39.04
Bintan,48.01,49.89
Natuna,46.42,43.84
Lingga,31.98,29.63
Kepulauan Anambas,38.14,32.14
Kota Batam,64.46,68.55
Kota Tanjung Pinang,61.57,59.47
DKI JAKARTA,72.71,65.54
Kep. Seribu,44.71,37.97
Kota Jakarta Selatan,75.8,70.55
Kota Jakarta Timur,76.63,72.51
Kota Jakarta Pusat,75.17,67.21
Kota Jakarta Barat,70.47,59.71
Kota Jakarta Utara,64.65,55.67
