Year,Provinsi,Laki_laki,Perempuan,SMA_Plus_Pct,TPT_Pct
2025,ACEH,53.12,49.76,51.44,5.64
2025,SUMATERA UTARA,55.64,52.01,53.825,5.32
2025,SUMATERA BARAT,46.66,50.12,48.39,5.62
2025,RIAU,46.88,44.22,45.55,4.16
2025,JAMBI,42.25,36.77,39.510000000000005,4.26
2025,SUMATERA SELATAN,41.7,36.93,39.315,3.69
2025,BENGKULU,44.67,42.13,43.400000000000006,3.41
2025,LAMPUNG,36.58,32.33,34.455,4.21
2025,KEP. BANGKA BELITUNG,41.54,39.72,40.629999999999995,4.45
2025,KEP. RIAU,65.4,60.08,62.74,6.45
2025,DKI JAKARTA,71.89,64.7,68.295,6.05
2025,JAWA BARAT,44.8,36.54,40.67,6.77
2025,JAWA TENGAH,33.21,28.74,30.975,4.66
2025,DI YOGYAKARTA,57.19,52.67,54.93,3.46
2025,JAWA TIMUR,39.26,31.58,35.42,3.88
2025,BANTEN,49.15,41.18,45.165,6.69
2025,BALI,56.2,44.27,50.235,1.49
2025,NUSA TENGGARA BARAT,41.8,30.96,36.379999999999995,3.06
2025,NUSA TENGGARA TIMUR,35.95,32.87,34.41,3.31
2025,KALIMANTAN BARAT,36.45,30.61,33.53,4.82
2025,KALIMANTAN TENGAH,38.94,34.47,36.705,3.97
2025,KALIMANTAN SELATAN,41.2,34.71,37.955,4.16
2025,KALIMANTAN TIMUR,57.95,49.68,53.815,5.18
2025,KALIMANTAN UTARA,47.43,44.8,46.114999999999995,3.85
2025,SULAWESI UTARA,49.27,50.6,49.935,5.99
2025,SULAWESI TENGAH,37.66,35.76,36.709999999999994,2.92
2025,SULAWESI SELATAN,43.65,40.73,42.19,4.21
2025,SULAWESI TENGGARA,44.67,39.98,42.325,3.31
2025,GORONTALO,31.37,37.47,34.42,3.42
2025,SULAWESI BARAT,36.44,34.23,35.334999999999994,2.86
2025,MALUKU,56.38,54.61,55.495000000000005,6.27
2025,MALUKU UTARA,45.39,40.28,42.835,4.55
2025,PAPUA BARAT,54.68,46.1,50.39,4.55
2025,PAPUA BARAT DAYA,62.26,55.35,58.805,6.85
2025,PAPUA,63.01,55.73,59.37,6.96
2025,PAPUA SELATAN,45.76,37.8,41.78,4.04
2025,PAPUA TENGAH,31.08,26.68,28.88,3.62
2025,PAPUA PEGUNUNGAN,21.0,12.32,16.66,1.68
