Year,Provinsi,Laki_laki,Perempuan,SMA_Plus_Pct,TPT_Pct
2018,ACEH,45.33,37.31,41.32,6.34
2018,SUMATERA UTARA,47.52,43.23,45.375,5.55
2018,SUMATERA BARAT,40.42,40.32,40.370000000000005,5.66
2018,RIAU,43.4,38.97,41.185,5.98
2018,JAMBI,37.97,31.08,34.525,3.73
2018,SUMATERA SELATAN,33.99,29.1,31.545,4.27
2018,BENGKULU,39.34,34.52,36.93000000000001,3.35
2018,LAMPUNG,30.71,25.82,28.265,4.04
2018,KEP. BANGKA BELITUNG,34.41,29.73,32.07,3.61
2018,KEP. RIAU,57.96,55.0,56.480000000000004,8.04
2018,DKI JAKARTA,67.71,58.38,63.045,6.65
2018,JAWA BARAT,36.55,28.63,32.589999999999996,8.23
2018,JAWA TENGAH,29.35,23.21,26.28,4.47
2018,DI YOGYAKARTA,53.01,44.07,48.54,3.37
2018,JAWA TIMUR,32.11,23.95,28.03,3.91
2018,BANTEN,43.89,33.03,38.46,8.47
2018,BALI,51.07,36.47,43.769999999999996,1.4
2018,NUSA TENGGARA BARAT,35.61,24.37,29.990000000000002,3.58
2018,NUSA TENGGARA TIMUR,30.63,24.4,27.515,2.85
2018,KALIMANTAN BARAT,30.75,24.5,27.625,4.18
2018,KALIMANTAN TENGAH,35.99,29.96,32.975,3.91
2018,KALIMANTAN SELATAN,36.27,28.29,32.28,4.35
2018,KALIMANTAN TIMUR,52.32,43.3,47.81,6.41
2018,KALIMANTAN UTARA,45.39,37.82,41.605000000000004,5.11
2018,SULAWESI UTARA,43.98,43.14,43.56,6.61
2018,SULAWESI TENGAH,37.82,32.47,35.144999999999996,3.37
2018,SULAWESI SELATAN,38.4,32.77,35.585,4.94
2018,SULAWESI TENGGARA,45.08,37.37,41.224999999999994,3.19
2018,GORONTALO,27.37,30.2,28.785,3.7
2018,SULAWESI BARAT,32.58,28.82,30.7,3.01
2018,MALUKU,50.54,45.51,48.025,6.95
2018,MALUKU UTARA,43.06,34.27,38.665000000000006,4.63
2018,PAPUA BARAT,54.68,44.35,49.515,6.45
2018,PAPUA,36.66,25.44,31.049999999999997,3.0
2019,ACEH,45.23,36.87,41.05,6.17
2019,SUMATERA UTARA,49.74,45.65,47.695,5.39
2019,SUMATERA BARAT,42.63,40.37,41.5,5.38
2019,RIAU,44.16,38.56,41.36,5.76
2019,JAMBI,38.61,32.03,35.32,4.06
2019,SUMATERA SELATAN,36.03,29.86,32.945,4.53
2019,BENGKULU,41.98,35.81,38.894999999999996,3.26
2019,LAMPUNG,32.32,26.1,29.21,4.03
2019,KEP. BANGKA BELITUNG,36.8,30.76,33.78,3.58
2019,KEP. RIAU,58.18,55.04,56.61,7.5
2019,DKI JAKARTA,67.74,58.88,63.31,6.54
2019,JAWA BARAT,38.24,28.89,33.565,8.04
