Provinsi,X (SMA+%),Y (TPT%),X²,Y²,XY
ACEH,51.44,5.64,2646.0736,31.8096,290.1216
SUMATERA UTARA,53.825,5.32,2897.1306,28.3024,286.349
SUMATERA BARAT,48.39,5.62,2341.5921,31.5844,271.9518
RIAU,45.55,4.16,2074.8025,17.3056,189.488
JAMBI,39.51,4.26,1561.0401,18.1476,168.3126
SUMATERA SELATAN,39.315,3.69,1545.6692,13.6161,145.0724
BENGKULU,43.4,3.41,1883.56,11.6281,147.994
LAMPUNG,34.455,4.21,1187.147,17.7241,145.0555
KEP. BANGKA BELITUNG,40.63,4.45,1650.7969,19.8025,180.8035
KEP. RIAU,62.74,6.45,3936.3076,41.6025,404.673
DKI JAKARTA,68.295,6.05,4664.207,36.6025,413.1848
JAWA BARAT,40.67,6.77,1654.0489,45.8329,275.3359
JAWA TENGAH,30.975,4.66,959.4506,21.7156,144.3435
DI YOGYAKARTA,54.93,3.46,3017.3049,11.9716,190.0578
JAWA TIMUR,35.42,3.88,1254.5764,15.0544,137.4296
BANTEN,45.165,6.69,2039.8772,44.7561,302.1539
BALI,50.235,1.49,2523.5552,2.2201,74.8502
NUSA TENGGARA BARAT,36.38,3.06,1323.5044,9.3636,111.3228
NUSA TENGGARA TIMUR,34.41,3.31,1184.0481,10.9561,113.8971
KALIMANTAN BARAT,33.53,4.82,1124.2609,23.2324,161.6146
KALIMANTAN TENGAH,36.705,3.97,1347.257,15.7609,145.7188
KALIMANTAN SELATAN,37.955,4.16,1440.582,17.3056,157.8928
KALIMANTAN TIMUR,53.815,5.18,2896.0542,26.8324,278.7617
KALIMANTAN UTARA,46.115,3.85,2126.5932,14.8225,177.5428
SULAWESI UTARA,49.935,5.99,2493.5042,35.8801,299.1106
SULAWESI TENGAH,36.71,2.92,1347.6241,8.5264,107.1932
SULAWESI SELATAN,42.19,4.21,1779.9961,17.7241,177.6199
SULAWESI TENGGARA,42.325,3.31,1791.4056,10.9561,140.0958
GORONTALO,34.42,3.42,1184.7364,11.6964,117.7164
SULAWESI BARAT,35.335,2.86,1248.5622,8.1796,101.0581
MALUKU,55.495,6.27,3079.695,39.3129,347.9536
MALUKU UTARA,42.835,4.55,1834.8372,20.7025,194.8992
PAPUA BARAT,50.39,4.55,2539.1521,20.7025,229.2745
PAPUA BARAT DAYA,58.805,6.85,3458.028,46.9225,402.8142
PAPUA,59.37,6.96,3524.7969,48.4416,413.2152
PAPUA SELATAN,41.78,4.04,1745.5684,16.3216,168.7912
PAPUA TENGAH,28.88,3.62,834.0544,13.1044,104.5456
PAPUA PEGUNUNGAN,16.66,1.68,277.5556,2.8224,27.9888
